Price;Volume;DateTime
0;22.2;2400;2020-09-01 10:11:00.552230
1;22.2;500;2020-09-01 10:11:00.552230
2;22.2;600;2020-09-01 10:11:00.552230
3;22.2;200;2020-09-01 10:11:00.552230
4;22.2;1000;2020-09-01 10:11:00.552230
5;22.2;100;2020-09-01 10:11:00.552230
6;22.2;500;2020-09-01 10:11:00.552230
7;22.2;100;2020-09-01 10:11:00.552230
8;22.2;2800;2020-09-01 10:11:00.552230
9;22.2;900;2020-09-01 10:11:00.552230
10;22.2;2500;2020-09-01 10:11:00.552230
11;22.2;10000;2020-09-01 10:11:00.552230
12;22.2;3800;2020-09-01 10:11:00.552230
13;22.2;2300;2020-09-01 10:11:00.552230
14;22.2;100;2020-09-01 10:11:00.552230
15;22.2;2200;2020-09-01 10:11:00.552230
16;22.2;2300;2020-09-01 10:11:00.552230
17;22.2;2300;2020-09-01 10:11:00.552230
18;22.2;1600;2020-09-01 10:11:00.552230
19;22.2;2300;2020-09-01 10:11:00.552230
20;22.2;2300;2020-09-01 10:11:00.552230
21;22.2;2300;2020-09-01 10:11:00.552230
22;22.2;2300;2020-09-01 10:11:00.552230
23;22.2;2300;2020-09-01 10:11:00.552230
24;22.2;2300;2020-09-01 10:11:00.552230
25;22.2;2300;2020-09-01 10:11:00.552230
26;22.2;2300;2020-09-01 10:11:00.552230
27;22.2;20000;2020-09-01 10:11:00.552230
28;22.2;1100;2020-09-01 10:11:00.552230
29;22.2;1200;2020-09-01 10:11:00.552230
30;22.2;2300;2020-09-01 10:11:00.552230
31;22.2;2300;2020-09-01 10:11:00.552230
32;22.2;400;2020-09-01 10:11:00.552230
33;22.2;300;2020-09-01 10:11:00.552230
34;22.2;500;2020-09-01 10:11:00.552230
35;22.2;1000;2020-09-01 10:11:00.552230
36;22.2;100;2020-09-01 10:11:00.552230
37;22.2;1500;2020-09-01 10:11:00.552230
38;22.2;800;2020-09-01 10:11:00.552230
39;22.2;2300;2020-09-01 10:11:00.552230
40;22.2;2300;2020-09-01 10:11:00.552230
41;22.2;2300;2020-09-01 10:11:00.552230
42;22.2;2300;2020-09-01 10:11:00.552230
43;22.2;16200;2020-09-01 10:11:00.552230
44;22.2;4000;2020-09-01 10:11:00.552230
45;22.2;7800;2020-09-01 10:11:00.552230
46;22.2;100;2020-09-01 10:11:00.552230
47;22.2;100;2020-09-01 10:11:00.552230
48;22.2;1700;2020-09-01 10:11:00.552230
49;22.2;2200;2020-09-01 10:11:00.552230
50;22.2;300;2020-09-01 10:11:00.552230
51;22.2;500;2020-09-01 10:11:00.552230
52;22.2;3000;2020-09-01 10:11:00.552230
53;22.2;100;2020-09-01 10:11:00.552230
54;22.2;16000;2020-09-01 10:11:00.552230
55;22.2;400;2020-09-01 10:11:00.552230
56;22.2;200;2020-09-01 10:11:00.552230
57;22.2;10000;2020-09-01 10:11:00.552230
58;22.2;100;2020-09-01 10:11:00.552230
59;22.2;17300;2020-09-01 10:11:00.552230
60;22.2;400;2020-09-01 10:11:00.552230
61;22.2;27300;2020-09-01 10:11:00.552230
62;22.2;3300;2020-09-01 10:11:00.552230
63;22.2;200;2020-09-01 10:11:00.552230
64;22.2;100;2020-09-01 10:11:00.552230
65;22.2;1000;2020-09-01 10:11:00.552230
66;22.2;100;2020-09-01 10:11:00.552230
67;22.2;100;2020-09-01 10:11:00.552230
68;22.2;200;2020-09-01 10:11:00.552230
69;22.2;400;2020-09-01 10:11:00.552230
70;22.2;100;2020-09-01 10:11:00.552230
71;22.2;100;2020-09-01 10:11:00.552230
72;22.2;200;2020-09-01 10:11:00.552230
73;22.2;100;2020-09-01 10:11:00.552230
74;22.2;100;2020-09-01 10:11:00.552230
75;22.2;100;2020-09-01 10:11:00.552230
76;22.2;100;2020-09-01 10:11:00.552230
77;22.2;6000;2020-09-01 10:11:00.552230
78;22.2;100;2020-09-01 10:11:00.552230
79;22.2;100;2020-09-01 10:11:00.552230
80;22.2;100;2020-09-01 10:11:00.552230
81;22.2;1000;2020-09-01 10:11:00.552230
82;22.2;100;2020-09-01 10:11:00.552230
83;22.2;100;2020-09-01 10:11:00.552230
84;22.2;500;2020-09-01 10:11:00.552230
85;22.2;200;2020-09-01 10:11:00.552230
86;22.2;100;2020-09-01 10:11:00.552230
87;22.2;1500;2020-09-01 10:11:00.552230
88;22.2;100;2020-09-01 10:11:00.552230
89;22.2;500;2020-09-01 10:11:00.552230
90;22.2;200;2020-09-01 10:11:00.552230
91;22.2;100;2020-09-01 10:11:00.552230
92;22.2;100;2020-09-01 10:11:00.552230
93;22.2;13500;2020-09-01 10:11:00.552230
94;22.2;1000;2020-09-01 10:11:00.552230
95;22.2;1200;2020-09-01 10:11:00.552230
96;22.2;10000;2020-09-01 10:11:00.552230
97;22.2;500;2020-09-01 10:11:00.552230
98;22.2;100;2020-09-01 10:11:00.552230
99;22.2;400;2020-09-01 10:11:00.552230
100;22.2;400;2020-09-01 10:11:00.552230
101;22.2;100;2020-09-01 10:11:00.552230
102;22.2;300;2020-09-01 10:11:00.552230
103;22.2;300;2020-09-01 10:11:00.552230
104;22.2;5000;2020-09-01 10:11:00.552230
105;22.2;300;2020-09-01 10:11:00.552230
106;22.2;500;2020-09-01 10:11:00.552230
107;22.2;9200;2020-09-01 10:11:00.552230
108;22.2;500;2020-09-01 10:11:00.552230
109;22.2;300;2020-09-01 10:11:00.552230
110;22.2;300;2020-09-01 10:11:00.552230
111;22.2;200;2020-09-01 10:11:00.552230
112;22.2;500;2020-09-01 10:11:00.552230
113;22.2;8000;2020-09-01 10:11:00.552230
114;22.2;200;2020-09-01 10:11:00.552230
115;22.2;200;2020-09-01 10:11:00.552230
116;22.2;500;2020-09-01 10:11:00.552230
117;22.2;900;2020-09-01 10:11:00.552230
118;22.2;200;2020-09-01 10:11:00.552230
119;22.2;1700;2020-09-01 10:11:00.552230
120;22.2;700;2020-09-01 10:11:00.552230
121;22.2;2000;2020-09-01 10:11:00.552230
122;22.2;1000;2020-09-01 10:11:00.552230
123;22.2;7500;2020-09-01 10:11:00.552230
124;22.2;7000;2020-09-01 10:11:00.552230
125;22.2;300;2020-09-01 10:11:00.552230
126;22.2;600;2020-09-01 10:11:00.552230
127;22.2;1000;2020-09-01 10:11:00.552230
128;22.2;100;2020-09-01 10:11:00.552230
129;22.2;1500;2020-09-01 10:11:00.552230
130;22.2;300;2020-09-01 10:11:00.552230
131;22.2;3600;2020-09-01 10:11:00.552230
132;22.2;100;2020-09-01 10:11:00.552230
133;22.2;2000;2020-09-01 10:11:00.552230
134;22.2;100;2020-09-01 10:11:00.552230
135;22.2;1000;2020-09-01 10:11:00.552230
136;22.2;100;2020-09-01 10:11:00.552230
137;22.2;500;2020-09-01 10:11:00.552230
138;22.2;300;2020-09-01 10:11:00.552230
139;22.2;100;2020-09-01 10:11:00.552230
140;22.2;100;2020-09-01 10:11:00.552230
141;22.2;500;2020-09-01 10:11:00.552230
142;22.2;400;2020-09-01 10:11:00.552230
143;22.2;3000;2020-09-01 10:11:00.552230
144;22.2;900;2020-09-01 10:11:00.552230
145;22.2;400;2020-09-01 10:11:00.552230
146;22.2;300;2020-09-01 10:11:00.552230
147;22.2;100;2020-09-01 10:11:00.552230
148;22.2;700;2020-09-01 10:11:00.552230
149;22.2;100;2020-09-01 10:11:00.552230
150;22.2;500;2020-09-01 10:11:00.552230
151;22.2;500;2020-09-01 10:11:00.552230
152;22.2;15000;2020-09-01 10:11:00.552230
153;22.2;200;2020-09-01 10:11:00.552230
154;22.2;1000;2020-09-01 10:11:00.552230
155;22.2;100;2020-09-01 10:11:00.552230
156;22.2;100;2020-09-01 10:11:00.552230
157;22.2;300;2020-09-01 10:11:00.552230
158;22.2;100;2020-09-01 10:11:00.552230
159;22.2;500;2020-09-01 10:11:00.552230
160;22.2;300;2020-09-01 10:11:00.552230
161;22.2;1500;2020-09-01 10:11:00.552230
162;22.2;500;2020-09-01 10:11:00.552230
163;22.2;1000;2020-09-01 10:11:00.552230
164;22.2;900;2020-09-01 10:11:00.552230
165;22.2;100;2020-09-01 10:11:00.552230
166;22.2;500;2020-09-01 10:11:00.552230
167;22.2;200;2020-09-01 10:11:00.552230
168;22.2;1300;2020-09-01 10:11:00.552230
169;22.2;700;2020-09-01 10:11:00.552230
170;22.2;100;2020-09-01 10:11:00.552230
171;22.2;4000;2020-09-01 10:11:00.552230
172;22.2;500;2020-09-01 10:11:00.552230
173;22.2;2700;2020-09-01 10:11:00.552230
174;22.2;2000;2020-09-01 10:11:00.552230
175;22.2;2200;2020-09-01 10:11:00.552230
176;22.2;100;2020-09-01 10:11:00.552230
177;22.2;100;2020-09-01 10:11:00.552230
178;22.2;200;2020-09-01 10:11:00.552230
179;22.2;10000;2020-09-01 10:11:00.552230
180;22.2;100;2020-09-01 10:11:00.552230
181;22.2;500;2020-09-01 10:11:00.552230
182;22.2;200;2020-09-01 10:11:00.552230
183;22.2;500;2020-09-01 10:11:00.552230
184;22.2;1500;2020-09-01 10:11:00.552230
185;22.2;200;2020-09-01 10:11:00.552230
186;22.2;400;2020-09-01 10:11:00.552230
187;22.2;100;2020-09-01 10:11:00.552230
188;22.2;1900;2020-09-01 10:11:00.552230
189;22.2;2000;2020-09-01 10:11:00.552230
190;22.2;1000;2020-09-01 10:11:00.552230
191;22.2;100;2020-09-01 10:11:00.552230
192;22.2;100;2020-09-01 10:11:00.552230
193;22.2;1500;2020-09-01 10:11:00.552230
194;22.2;14400;2020-09-01 10:11:00.552230
195;22.2;19400;2020-09-01 10:11:00.552230
196;22.2;5100;2020-09-01 10:11:00.552230
197;22.2;100;2020-09-01 10:11:00.552230
198;22.2;700;2020-09-01 10:11:00.552230
199;22.2;12800;2020-09-01 10:11:00.552230
200;22.2;4400;2020-09-01 10:11:00.552230
201;22.2;1000;2020-09-01 10:11:00.552230
202;22.2;100;2020-09-01 10:11:00.552230
203;22.2;100;2020-09-01 10:11:00.552230
204;22.2;100;2020-09-01 10:11:00.552230
205;22.2;100;2020-09-01 10:11:00.552230
206;22.2;100;2020-09-01 10:11:00.552230
207;22.2;12900;2020-09-01 10:11:00.552230
208;22.2;20000;2020-09-01 10:11:00.552230
209;22.2;20000;2020-09-01 10:11:00.552230
210;22.2;100;2020-09-01 10:11:00.552230
211;22.2;6400;2020-09-01 10:11:00.552230
212;22.2;10000;2020-09-01 10:11:00.552230
213;22.2;100;2020-09-01 10:11:00.552230
214;22.2;2100;2020-09-01 10:11:00.552230
215;22.2;2900;2020-09-01 10:11:00.552230
216;22.2;2000;2020-09-01 10:11:00.552230
217;22.2;5100;2020-09-01 10:11:00.552230
218;22.2;5400;2020-09-01 10:11:00.552230
219;22.2;400;2020-09-01 10:11:00.552230
220;22.2;100;2020-09-01 10:11:00.552230
221;22.2;1000;2020-09-01 10:11:00.552230
222;22.2;100;2020-09-01 10:11:00.552230
223;22.2;200;2020-09-01 10:11:00.552230
224;22.2;1000;2020-09-01 10:11:00.552230
225;22.2;1800;2020-09-01 10:11:00.552230
226;22.2;2000;2020-09-01 10:11:00.552230
227;22.2;2500;2020-09-01 10:11:00.552230
