Price;Volume;DateTime
0;25.4;300;2020-12-01 10:08:00.173470
1;25.4;200;2020-12-01 10:08:00.173470
2;25.4;4500;2020-12-01 10:08:00.173470
3;25.4;300;2020-12-01 10:08:00.173470
4;25.4;100;2020-12-01 10:08:00.173470
5;25.4;17200;2020-12-01 10:08:00.173470
6;25.4;2800;2020-12-01 10:08:00.173470
7;25.4;200;2020-12-01 10:08:00.173470
8;25.4;300;2020-12-01 10:08:00.173470
9;25.4;300;2020-12-01 10:08:00.173470
10;25.4;400;2020-12-01 10:08:00.173470
11;25.4;10000;2020-12-01 10:08:00.173470
12;25.4;200;2020-12-01 10:08:00.173470
13;25.4;900;2020-12-01 10:08:00.173470
14;25.4;600;2020-12-01 10:08:00.173470
15;25.4;500;2020-12-01 10:08:00.173470
16;25.4;10000;2020-12-01 10:08:00.173470
17;25.4;6200;2020-12-01 10:08:00.173470
18;25.4;400;2020-12-01 10:08:00.173470
19;25.4;3000;2020-12-01 10:08:00.173470
20;25.4;300;2020-12-01 10:08:00.173470
21;25.4;100;2020-12-01 10:08:00.173470
22;25.4;300;2020-12-01 10:08:00.173470
23;25.4;200;2020-12-01 10:08:00.173470
24;25.4;2000;2020-12-01 10:08:00.173470
25;25.4;100;2020-12-01 10:08:00.173470
26;25.4;100;2020-12-01 10:08:00.173470
27;25.4;1500;2020-12-01 10:08:00.173470
28;25.4;100;2020-12-01 10:08:00.173470
29;25.4;200;2020-12-01 10:08:00.173470
30;25.4;100;2020-12-01 10:08:00.173470
31;25.4;100;2020-12-01 10:08:00.173470
32;25.4;2000;2020-12-01 10:08:00.173470
33;25.4;300;2020-12-01 10:08:00.173470
34;25.4;300;2020-12-01 10:08:00.173470
35;25.4;100;2020-12-01 10:08:00.173470
36;25.4;100;2020-12-01 10:08:00.173470
37;25.4;200;2020-12-01 10:08:00.173470
38;25.4;800;2020-12-01 10:08:00.173470
39;25.4;100;2020-12-01 10:08:00.173470
40;25.4;200;2020-12-01 10:08:00.173470
41;25.4;4000;2020-12-01 10:08:00.173470
42;25.4;800;2020-12-01 10:08:00.173470
43;25.4;400;2020-12-01 10:08:00.173470
44;25.4;3100;2020-12-01 10:08:00.173470
45;25.4;6900;2020-12-01 10:08:00.173470
46;25.4;2000;2020-12-01 10:08:00.173470
47;25.4;100;2020-12-01 10:08:00.173470
48;25.4;1200;2020-12-01 10:08:00.173470
49;25.4;9000;2020-12-01 10:08:00.173470
50;25.4;8300;2020-12-01 10:08:00.173470
51;25.4;5200;2020-12-01 10:08:00.173470
52;25.4;1000;2020-12-01 10:08:00.173470
53;25.4;100;2020-12-01 10:08:00.173470
54;25.4;400;2020-12-01 10:08:00.173470
55;25.4;2000;2020-12-01 10:08:00.173470
56;25.4;1400;2020-12-01 10:08:00.173470
57;25.4;100;2020-12-01 10:08:00.173470
58;25.4;600;2020-12-01 10:08:00.173470
59;25.4;200;2020-12-01 10:08:00.173470
60;25.4;700;2020-12-01 10:08:00.173470
61;25.4;400;2020-12-01 10:08:00.173470
62;25.4;2300;2020-12-01 10:08:00.173470
63;25.4;100;2020-12-01 10:08:00.173470
64;25.4;4100;2020-12-01 10:08:00.173470
65;25.4;500;2020-12-01 10:08:00.173470
66;25.4;500;2020-12-01 10:08:00.173470
67;25.4;100;2020-12-01 10:08:00.173500
68;25.4;100;2020-12-01 10:08:00.173500
69;25.4;100;2020-12-01 10:08:00.173500
70;25.4;100;2020-12-01 10:08:00.173500
71;25.4;100;2020-12-01 10:08:00.173500
72;25.4;100;2020-12-01 10:08:00.173500
73;25.4;6000;2020-12-01 10:08:00.173500
74;25.4;700;2020-12-01 10:08:00.173500
75;25.4;400;2020-12-01 10:08:00.173500
76;25.4;100;2020-12-01 10:08:00.173500
77;25.4;600;2020-12-01 10:08:00.173500
78;25.4;100;2020-12-01 10:08:00.173500
79;25.4;200;2020-12-01 10:08:00.173500
80;25.4;500;2020-12-01 10:08:00.173500
81;25.4;300;2020-12-01 10:08:00.173500
82;25.4;1000;2020-12-01 10:08:00.173500
83;25.4;200;2020-12-01 10:08:00.173500
84;25.4;800;2020-12-01 10:08:00.173500
85;25.4;100;2020-12-01 10:08:00.173500
86;25.4;3300;2020-12-01 10:08:00.173500
87;25.4;1000;2020-12-01 10:08:00.173500
88;25.4;10700;2020-12-01 10:08:00.173500
89;25.4;100;2020-12-01 10:08:00.173500
90;25.4;100;2020-12-01 10:08:00.173500
91;25.4;200;2020-12-01 10:08:00.173500
92;25.4;100;2020-12-01 10:08:00.173500
93;25.4;100;2020-12-01 10:08:00.173500
94;25.4;300;2020-12-01 10:08:00.173500
95;25.4;100;2020-12-01 10:08:00.173500
96;25.4;300;2020-12-01 10:08:00.173500
97;25.4;800;2020-12-01 10:08:00.173500
98;25.4;1000;2020-12-01 10:08:00.173500
99;25.4;200;2020-12-01 10:08:00.173500
100;25.4;500;2020-12-01 10:08:00.173500
101;25.4;100;2020-12-01 10:08:00.173500
102;25.4;600;2020-12-01 10:08:00.173500
103;25.4;100;2020-12-01 10:08:00.173500
104;25.4;200;2020-12-01 10:08:00.173500
105;25.4;200;2020-12-01 10:08:00.173500
106;25.4;100;2020-12-01 10:08:00.173500
107;25.4;1000;2020-12-01 10:08:00.173500
108;25.4;400;2020-12-01 10:08:00.173500
109;25.4;300;2020-12-01 10:08:00.173500
110;25.4;200;2020-12-01 10:08:00.173500
111;25.4;100;2020-12-01 10:08:00.173500
112;25.4;100;2020-12-01 10:08:00.173500
113;25.4;1300;2020-12-01 10:08:00.173500
114;25.4;100;2020-12-01 10:08:00.173500
115;25.4;100;2020-12-01 10:08:00.173500
116;25.4;200;2020-12-01 10:08:00.173500
117;25.4;100;2020-12-01 10:08:00.173500
118;25.4;300;2020-12-01 10:08:00.173500
119;25.4;400;2020-12-01 10:08:00.173500
120;25.4;700;2020-12-01 10:08:00.173500
121;25.4;600;2020-12-01 10:08:00.173500
122;25.4;300;2020-12-01 10:08:00.173500
123;25.4;100;2020-12-01 10:08:00.173500
124;25.4;100;2020-12-01 10:08:00.173500
125;25.4;1000;2020-12-01 10:08:00.173500
126;25.4;200;2020-12-01 10:08:00.173500
127;25.4;100;2020-12-01 10:08:00.173500
128;25.4;100;2020-12-01 10:08:00.173500
129;25.4;500;2020-12-01 10:08:00.173500
130;25.4;100;2020-12-01 10:08:00.173500
131;25.4;700;2020-12-01 10:08:00.173500
132;25.4;100;2020-12-01 10:08:00.173500
133;25.4;800;2020-12-01 10:08:00.173500
134;25.4;700;2020-12-01 10:08:00.173500
135;25.4;2400;2020-12-01 10:08:00.173500
136;25.4;2000;2020-12-01 10:08:00.173500
137;25.4;800;2020-12-01 10:08:00.173500
138;25.4;200;2020-12-01 10:08:00.173500
139;25.4;1500;2020-12-01 10:08:00.173500
140;25.4;2500;2020-12-01 10:08:00.173500
141;25.4;600;2020-12-01 10:08:00.173500
142;25.4;5400;2020-12-01 10:08:00.173500
143;25.4;500;2020-12-01 10:08:00.173500
144;25.4;100;2020-12-01 10:08:00.173500
145;25.4;100;2020-12-01 10:08:00.173500
146;25.4;400;2020-12-01 10:08:00.173500
147;25.4;300;2020-12-01 10:08:00.173500
148;25.4;300;2020-12-01 10:08:00.173500
149;25.4;500;2020-12-01 10:08:00.173500
150;25.4;200;2020-12-01 10:08:00.173500
151;25.4;1000;2020-12-01 10:08:00.173500
152;25.4;1500;2020-12-01 10:08:00.173500
153;25.4;500;2020-12-01 10:08:00.173500
154;25.4;300;2020-12-01 10:08:00.173500
155;25.4;100;2020-12-01 10:08:00.173500
156;25.4;2000;2020-12-01 10:08:00.173500
157;25.4;1000;2020-12-01 10:08:00.173500
158;25.4;100;2020-12-01 10:08:00.173500
159;25.4;100;2020-12-01 10:08:00.173500
160;25.4;300;2020-12-01 10:08:00.173500
161;25.4;100;2020-12-01 10:08:00.173500
162;25.4;1700;2020-12-01 10:08:00.173500
163;25.4;100;2020-12-01 10:08:00.173500
164;25.4;1000;2020-12-01 10:08:00.173500
165;25.4;500;2020-12-01 10:08:00.173500
166;25.4;300;2020-12-01 10:08:00.173500
167;25.4;100;2020-12-01 10:08:00.173500
168;25.4;100;2020-12-01 10:08:00.173500
169;25.4;300;2020-12-01 10:08:00.173500
170;25.4;1100;2020-12-01 10:08:00.173500
171;25.4;500;2020-12-01 10:08:00.173500
172;25.4;1000;2020-12-01 10:08:00.173500
173;25.4;200;2020-12-01 10:08:00.173500
174;25.4;5000;2020-12-01 10:08:00.173500
175;25.4;1200;2020-12-01 10:08:00.173500
176;25.4;200;2020-12-01 10:08:00.173500
177;25.4;1000;2020-12-01 10:08:00.173500
178;25.4;100;2020-12-01 10:08:00.173500
179;25.4;800;2020-12-01 10:08:00.173500
180;25.4;300;2020-12-01 10:08:00.173500
181;25.4;900;2020-12-01 10:08:00.173500
182;25.4;200;2020-12-01 10:08:00.173500
183;25.4;700;2020-12-01 10:08:00.173500
184;25.4;1000;2020-12-01 10:08:00.173500
185;25.4;1000;2020-12-01 10:08:00.173500
186;25.4;300;2020-12-01 10:08:00.173500
187;25.4;200;2020-12-01 10:08:00.173500
188;25.4;2000;2020-12-01 10:08:00.173500
189;25.4;1300;2020-12-01 10:08:00.173500
190;25.4;500;2020-12-01 10:08:00.173500
191;25.4;5600;2020-12-01 10:08:00.173500
192;25.4;11900;2020-12-01 10:08:00.173500
193;25.4;2500;2020-12-01 10:08:00.173500
194;25.4;200;2020-12-01 10:08:00.173500
195;25.4;600;2020-12-01 10:08:00.173500
196;25.4;100;2020-12-01 10:08:00.173500
197;25.4;4000;2020-12-01 10:08:00.173500
198;25.4;500;2020-12-01 10:08:00.173500
199;25.4;200;2020-12-01 10:08:00.173500
200;25.4;800;2020-12-01 10:08:00.173500
201;25.4;500;2020-12-01 10:08:00.173500
202;25.4;800;2020-12-01 10:08:00.173500
203;25.4;4100;2020-12-01 10:08:00.173500
204;25.4;600;2020-12-01 10:08:00.173500
205;25.4;400;2020-12-01 10:08:00.173500
206;25.4;2600;2020-12-01 10:08:00.173500
207;25.4;400;2020-12-01 10:08:00.173500
208;25.4;2200;2020-12-01 10:08:00.173500
209;25.4;300;2020-12-01 10:08:00.173500
210;25.4;2600;2020-12-01 10:08:00.173500
211;25.4;1000;2020-12-01 10:08:00.173500
212;25.4;2200;2020-12-01 10:08:00.173500
213;25.4;200;2020-12-01 10:08:00.173500
214;25.4;4000;2020-12-01 10:08:00.173500
215;25.4;100;2020-12-01 10:08:00.173500
216;25.4;500;2020-12-01 10:08:00.173500
217;25.4;100;2020-12-01 10:08:00.173500
218;25.4;500;2020-12-01 10:08:00.173500
219;25.4;100;2020-12-01 10:08:00.173500
220;25.4;5000;2020-12-01 10:08:00.173500
221;25.4;500;2020-12-01 10:08:00.173500
222;25.4;3200;2020-12-01 10:08:00.173500
223;25.4;200;2020-12-01 10:08:00.173500
224;25.4;100;2020-12-01 10:08:00.173500
225;25.4;600;2020-12-01 10:08:00.173500
226;25.4;400;2020-12-01 10:08:00.173500
227;25.4;7000;2020-12-01 10:08:00.173500
228;25.4;1000;2020-12-01 10:08:00.173500
229;25.4;100;2020-12-01 10:08:00.173500
230;25.4;300;2020-12-01 10:08:00.173500
231;25.4;100;2020-12-01 10:08:00.173500
232;25.4;600;2020-12-01 10:08:00.173500
233;25.4;300;2020-12-01 10:08:00.173500
234;25.4;3200;2020-12-01 10:08:00.173500
235;25.4;800;2020-12-01 10:08:00.173500
236;25.4;100;2020-12-01 10:08:00.173500
237;25.4;100;2020-12-01 10:08:00.173500
238;25.4;4100;2020-12-01 10:08:00.173500
239;25.4;6300;2020-12-01 10:08:00.173500
240;25.4;8700;2020-12-01 10:08:00.173500
241;25.4;6100;2020-12-01 10:08:00.173500
242;25.4;600;2020-12-01 10:08:00.173500
243;25.4;3000;2020-12-01 10:08:00.173500
244;25.4;100;2020-12-01 10:08:00.173500
245;25.4;1000;2020-12-01 10:08:00.173500
246;25.4;100;2020-12-01 10:08:00.173500
247;25.4;600;2020-12-01 10:08:00.173500
248;25.4;100;2020-12-01 10:08:00.173500
249;25.4;100;2020-12-01 10:08:00.173500
250;25.4;100;2020-12-01 10:08:00.173500
