Price;Volume;DateTime
0;25.92;1600;2020-11-27 10:09:00.342470
1;25.92;64400;2020-11-27 10:09:00.342470
2;25.92;27900;2020-11-27 10:09:00.342470
3;25.92;24700;2020-11-27 10:09:00.342470
4;25.92;600;2020-11-27 10:09:00.342470
5;25.92;39100;2020-11-27 10:09:00.342470
6;25.92;24700;2020-11-27 10:09:00.342470
7;25.92;300;2020-11-27 10:09:00.342470
8;25.92;10000;2020-11-27 10:09:00.342470
9;25.92;200;2020-11-27 10:09:00.342470
10;25.92;700;2020-11-27 10:09:00.342470
11;25.92;500;2020-11-27 10:09:00.342470
12;25.92;100;2020-11-27 10:09:00.342470
13;25.92;100;2020-11-27 10:09:00.342470
14;25.92;100;2020-11-27 10:09:00.342470
15;25.92;1000;2020-11-27 10:09:00.342470
16;25.92;2000;2020-11-27 10:09:00.342470
17;25.92;100;2020-11-27 10:09:00.342470
18;25.92;300;2020-11-27 10:09:00.342470
19;25.92;100;2020-11-27 10:09:00.342470
20;25.92;100;2020-11-27 10:09:00.342470
21;25.92;2000;2020-11-27 10:09:00.342470
22;25.92;10000;2020-11-27 10:09:00.342470
23;25.92;3200;2020-11-27 10:09:00.342470
24;25.92;100;2020-11-27 10:09:00.342470
25;25.92;600;2020-11-27 10:09:00.342470
26;25.92;400;2020-11-27 10:09:00.342470
27;25.92;700;2020-11-27 10:09:00.342470
28;25.92;300;2020-11-27 10:09:00.342470
29;25.92;5000;2020-11-27 10:09:00.342470
30;25.92;20000;2020-11-27 10:09:00.342470
31;25.92;1000;2020-11-27 10:09:00.342470
32;25.92;100;2020-11-27 10:09:00.342470
33;25.92;300;2020-11-27 10:09:00.342500
34;25.92;100;2020-11-27 10:09:00.342500
35;25.92;100;2020-11-27 10:09:00.342500
36;25.92;700;2020-11-27 10:09:00.342500
37;25.92;200;2020-11-27 10:09:00.342500
38;25.92;500;2020-11-27 10:09:00.342500
39;25.92;100;2020-11-27 10:09:00.342500
40;25.92;100;2020-11-27 10:09:00.342500
41;25.92;400;2020-11-27 10:09:00.342500
42;25.92;700;2020-11-27 10:09:00.342500
43;25.92;2000;2020-11-27 10:09:00.342500
44;25.92;10000;2020-11-27 10:09:00.342500
45;25.92;100;2020-11-27 10:09:00.342500
46;25.92;1000;2020-11-27 10:09:00.342500
