Price;Volume;DateTime
0;22.83;200;2020-07-17 10:09:00.190730
1;22.83;800;2020-07-17 10:09:00.190730
2;22.83;1200;2020-07-17 10:09:00.190730
3;22.83;1300;2020-07-17 10:09:00.190730
4;22.83;1200;2020-07-17 10:09:00.190730
5;22.83;1300;2020-07-17 10:09:00.190730
6;22.83;900;2020-07-17 10:09:00.190730
7;22.83;900;2020-07-17 10:09:00.190730
8;22.83;900;2020-07-17 10:09:00.190730
9;22.83;900;2020-07-17 10:09:00.190730
10;22.83;1200;2020-07-17 10:09:00.190730
11;22.83;1300;2020-07-17 10:09:00.190730
12;22.83;300;2020-07-17 10:09:00.190730
13;22.83;1200;2020-07-17 10:09:00.190730
14;22.83;1300;2020-07-17 10:09:00.190730
15;22.83;5000;2020-07-17 10:09:00.190730
16;22.83;1000;2020-07-17 10:09:00.190730
17;22.83;100;2020-07-17 10:09:00.190730
18;22.83;100;2020-07-17 10:09:00.190730
19;22.83;100;2020-07-17 10:09:00.190730
20;22.83;100;2020-07-17 10:09:00.190730
21;22.83;200;2020-07-17 10:09:00.190730
22;22.83;2000;2020-07-17 10:09:00.190730
23;22.83;100;2020-07-17 10:09:00.190730
24;22.83;500;2020-07-17 10:09:00.190730
25;22.83;100;2020-07-17 10:09:00.190730
26;22.83;100;2020-07-17 10:09:00.190730
27;22.83;100;2020-07-17 10:09:00.190730
28;22.83;2200;2020-07-17 10:09:00.190730
29;22.83;300;2020-07-17 10:09:00.190730
30;22.83;1100;2020-07-17 10:09:00.190730
31;22.83;600;2020-07-17 10:09:00.190730
32;22.83;100;2020-07-17 10:09:00.190730
33;22.83;800;2020-07-17 10:09:00.190730
34;22.83;500;2020-07-17 10:09:00.190730
35;22.83;200;2020-07-17 10:09:00.190730
36;22.83;800;2020-07-17 10:09:00.190730
37;22.83;600;2020-07-17 10:09:00.190730
38;22.83;1000;2020-07-17 10:09:00.190730
39;22.83;500;2020-07-17 10:09:00.190730
40;22.83;100;2020-07-17 10:09:00.190730
41;22.83;5800;2020-07-17 10:09:00.190730
42;22.83;100;2020-07-17 10:09:00.190730
43;22.83;500;2020-07-17 10:09:00.190730
44;22.83;300;2020-07-17 10:09:00.190730
45;22.83;6700;2020-07-17 10:09:00.190730
46;22.83;200;2020-07-17 10:09:00.190730
47;22.83;100;2020-07-17 10:09:00.190730
48;22.83;1100;2020-07-17 10:09:00.190730
49;22.83;10000;2020-07-17 10:09:00.190730
50;22.83;100;2020-07-17 10:09:00.190730
51;22.83;2700;2020-07-17 10:09:00.190730
52;22.83;600;2020-07-17 10:09:00.190730
53;22.83;13500;2020-07-17 10:09:00.190730
54;22.83;900;2020-07-17 10:09:00.190730
55;22.83;500;2020-07-17 10:09:00.190730
56;22.83;500;2020-07-17 10:09:00.190730
57;22.83;100;2020-07-17 10:09:00.190730
58;22.83;4500;2020-07-17 10:09:00.190730
59;22.83;5500;2020-07-17 10:09:00.190730
60;22.83;2000;2020-07-17 10:09:00.190730
61;22.83;100;2020-07-17 10:09:00.190730
62;22.83;100;2020-07-17 10:09:00.190730
63;22.83;300;2020-07-17 10:09:00.190730
64;22.83;100;2020-07-17 10:09:00.190730
65;22.83;600;2020-07-17 10:09:00.190730
66;22.83;200;2020-07-17 10:09:00.190730
67;22.83;9200;2020-07-17 10:09:00.190730
68;22.83;800;2020-07-17 10:09:00.190730
69;22.83;1100;2020-07-17 10:09:00.190730
70;22.83;200;2020-07-17 10:09:00.190730
71;22.83;200;2020-07-17 10:09:00.190730
72;22.83;200;2020-07-17 10:09:00.190730
73;22.83;1700;2020-07-17 10:09:00.190730
74;22.83;300;2020-07-17 10:09:00.190730
75;22.83;700;2020-07-17 10:09:00.190730
76;22.83;1000;2020-07-17 10:09:00.190730
77;22.83;1600;2020-07-17 10:09:00.190730
78;22.83;100;2020-07-17 10:09:00.190730
79;22.83;500;2020-07-17 10:09:00.190730
