Predicted High;Predicted Low
0;20.503662109375;20.027517318725586
1;19.494285583496094;19.058374404907227
2;19.817895889282227;19.47282600402832
3;20.0103702545166;19.074918746948242
4;20.4356689453125;19.980350494384766
5;20.25366973876953;19.70343017578125
6;21.276914596557617;20.353750228881836
7;21.03829002380371;20.718292236328125
8;20.16231346130371;19.479597091674805
9;20.535518646240234;19.855566024780273
10;18.930557250976562;18.08970069885254
11;19.586231231689453;17.577884674072266
12;19.51356315612793;19.144380569458008
13;20.134353637695312;19.380550384521484
14;20.02548599243164;19.232526779174805
15;19.962215423583984;19.896442413330078
16;19.939252853393555;19.394851684570312
17;22.23615074157715;21.15225601196289
18;23.002775192260742;21.86311912536621
19;23.31622886657715;22.457653045654297
20;22.864599227905273;21.692459106445312
21;22.802648544311523;21.923200607299805
22;23.596874237060547;23.204849243164062
23;24.133960723876953;22.95436668395996
24;24.129825592041016;23.62855339050293
25;23.921958923339844;23.322338104248047
26;24.000457763671875;23.50619888305664
27;25.1829833984375;24.18145751953125
28;26.586355209350586;25.724040985107422
29;26.500499725341797;25.663808822631836
30;25.9379825592041;25.54200553894043
31;26.06923484802246;25.428325653076172
32;25.855440139770508;24.694860458374023
33;25.75377655029297;25.442150115966797
34;26.63175392150879;25.293962478637695
35;26.949499130249023;26.26628875732422
